Post ID,Post Date,Post Time,Post Type,Post Visibility,Message Length,People Reached (Lifetime),Organic Reach (Lifetime),Viral Reach (Lifetime),Fan Reach (Lifetime)
15408433177_10156164394448178,112918,12:30:06,link,Visible,74,34085,34085,4635,30348
15408433177_10156164132608178,112918,9:30:07,link,Visible,373,17960,17960,205,17359
15408433177_10156162853103178,112818,18:30:06,photo,Visible,1064,25997,25997,3081,22227
15408433177_10156162444708178,112818,14:46:53,video,Unpublished,346,20719,20719,2279,17741
15408433177_10156162439313178,112818,14:44:11,video,Unpublished,423,43003,43003,7479,35276
15408433177_10156162432303178,112818,14:41:18,video,Unpublished,442,23321,23321,4434,18491
15408433177_10156162351663178,112818,14:00:04,link,Visible,189,29842,29842,4848,24413
15408433177_10156162118913178,112818,11:15:11,video,Visible,175,4645,4645,2,4597
15408433177_10156160638918178,112718,18:30:11,photo,Visible,2664,25699,25699,2276,22721
15408433177_10156160159553178,112718,14:24:24,video,Unpublished,305,26107,26107,8415,18236
15408433177_10156160113158178,112718,14:00:09,link,Visible,196,18515,18515,461,17552
15408433177_10156159718293178,112718,9:46:03,link,Visible,285,21376,21376,1943,19151
15408433177_10156158610078178,112618,18:34:04,photo,Visible,1958,26320,26320,3329,22530
15408433177_10156158143678178,112618,14:30:07,photo,Visible,970,28819,28819,3340,25033
15408433177_10156157970293178,112618,13:00:08,link,Visible,1177,42833,42833,7503,35068
15408433177_10156157522983178,112618,8:31:05,photo,Visible,245,19980,19980,1920,17433
15408433177_10156156501903178,112518,18:56:08,photo,Visible,1360,33676,33676,3840,28661
15408433177_10156155430883178,112518,10:30:07,link,Visible,295,30252,30252,1301,28062
15408433177_10156153932963178,112418,18:30:07,photo,Visible,1549,39432,39432,6360,32818
15408433177_10156151640603178,112318,18:30:07,photo,Visible,486,34916,34916,4025,30669
15408433177_10156151596183178,112318,17:57:44,video,Unpublished,420,54418,54418,13649,40018
15408433177_10156151336783178,112318,15:24:11,link,Visible,287,26264,26264,584,24990
15408433177_10156150671273178,112318,8:30:06,link,Visible,262,49842,49842,12738,37699
15408433177_10156149494503178,112218,18:30:07,photo,Visible,1916,48996,48996,17939,33845
15408433177_10156149139358178,112218,14:30:07,link,Visible,339,22608,22608,879,21460
15408433177_10156148506148178,112218,8:25:02,link,Visible,191,22674,22674,996,21106
15408433177_10156147411753178,112118,18:30:07,photo,Visible,2223,25323,25323,2719,22061
15408433177_10156146503608178,112118,8:42:41,video,Visible,371,22924,22924,1794,20705
15408433177_10156145577228178,112018,18:30:11,photo,Visible,661,33262,33262,3381,29511
15408433177_10156145169948178,112018,12:12:57,link,Visible,282,28242,28242,1000,26234
15408433177_10156145065818178,112018,10:46:52,video,Unpublished,604,19890,19890,873,18099
15408433177_10156143948398178,111918,18:29:05,photo,Visible,1879,23817,23817,3299,20037
15408433177_10156143771388178,111918,17:02:02,link,Visible,129,19900,19900,1531,18089
15408433177_10156142846528178,111918,8:31:04,photo,Visible,148,17305,17305,471,16014
15408433177_10156141547928178,111818,18:30:08,photo,Visible,1743,27927,27927,3815,23742
15408433177_10156141159568178,111818,14:30:06,link,Visible,207,23284,23284,1124,21204
15408433177_10156140721308178,111818,10:30:05,link,Visible,212,20641,20641,1085,18977
15408433177_10156139357558178,111718,18:30:06,photo,Visible,736,33680,33680,3058,29917
15408433177_10156138839683178,111718,14:30:07,link,Visible,334,26678,26678,1251,24826
15408433177_10156138219518178,111718,10:30:06,link,Visible,214,24723,24723,996,23014
15408433177_10156136842543178,111618,18:30:09,photo,Visible,1365,29822,29822,3289,26011
15408433177_10156136339693178,111618,13:50:03,photo,Visible,498,542,542,59,210
15408433177_10156135917453178,111618,10:00:10,link,Visible,256,27644,27644,1095,25778
15408433177_10156134543128178,111518,18:30:07,photo,Visible,2213,35224,35224,4434,29745
15408433177_10156133873283178,111518,13:30:07,photo,Visible,366,26948,26948,1171,24570
15408433177_10156133429553178,111518,9:54:18,link,Visible,367,34708,34708,2552,31252
15408433177_10156132020603178,111418,18:30:06,photo,Visible,2001,33028,33028,3893,28620
15408433177_10156131327158178,111418,12:08:09,video,Unpublished,149,62100,62100,19649,41668
15408433177_10156130979353178,111418,9:15:08,video,Unpublished,258,34126,34126,3299,29444
15408433177_10156130843048178,111418,8:12:00,link,Visible,198,23719,23719,604,22281
15408433177_10156129621538178,111318,18:30:09,photo,Visible,1609,29000,29000,2954,25440
15408433177_10156129429438178,111318,16:26:19,photo,Visible,289,32567,32567,1483,30163
15408433177_10156128671828178,111318,9:30:05,link,Visible,208,33852,33852,1489,31434
15408433177_10156127597793178,111218,18:43:12,photo,Visible,1042,187595,187595,128163,64126
15408433177_10156126869688178,111218,11:30:03,link,Visible,304,41864,41864,3612,36790
15408433177_10156125702388178,111118,22:40:27,photo,Visible,189,56641,56641,27422,34483
15408433177_10156125151733178,111118,16:01:23,video,Visible,132,93304,93304,41221,55281
15408433177_10156125009418178,111118,14:31:03,link,Visible,199,77892,77892,38852,43502
15408433177_10156124488518178,111118,10:58:00,video,Visible,557,17866,17866,488,17728
15408433177_10156123237973178,111018,21:02:20,video,Visible,129,213041,213041,130065,81348
15408433177_10156122899333178,111018,16:56:03,link,Visible,172,90016,90016,17451,69315
15408433177_10156121937833178,111018,9:29:05,photo,Visible,733,55591,55591,25251,29429
15408433177_10156120642333178,11918,18:30:06,photo,Visible,1537,28527,28527,2202,25093
15408433177_10156120198888178,11918,14:30:05,link,Visible,91,49631,49631,12188,36760
15408433177_10156119736638178,11918,10:48:06,video,Visible,282,13252,13252,53,12206
